(base) uchiyats@uchiyats-Super-Server:~/translation/translateCTC_mask$ MyE2EModel(
  (encoder): Encoder(
    (embed): Embedding(61655, 1024)
    (pos_emb): Embedding(300, 1024)
    (blocks): ModuleList(
      (0-11): 12 x ResidualAttentionBlock(
        (attn): MultiHeadAttention(
          (query): Linear(in_features=1024, out_features=1024, bias=True)
          (key): Linear(in_features=1024, out_features=1024, bias=False)
          (value): Linear(in_features=1024, out_features=1024, bias=True)
          (out): Linear(in_features=1024, out_features=1024, bias=True)
          (layer_norm): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
          (dropout): Dropout(p=0.1, inplace=False)
        )
        (attn_ln): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
        (pos_ffn): PositionwiseFeedForward(
          (w_1): Conv1d(1024, 2048, kernel_size=(9,), stride=(1,), padding=(4,))
          (w_2): Conv1d(2048, 1024, kernel_size=(1,), stride=(1,))
          (layer_norm): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
          (dropout): Dropout(p=0.1, inplace=False)
        )
      )
    )
    (dropout): Dropout(p=0.1, inplace=False)
  )
  (decoder): Decoder(
    (embed): Embedding(57854, 1024)
    (pos_emb): Embedding(900, 1024)
    (blocks): ModuleList(
      (0-11): 12 x ResidualAttentionBlock(
        (attn): MultiHeadAttention(
          (query): Linear(in_features=1024, out_features=1024, bias=True)
          (key): Linear(in_features=1024, out_features=1024, bias=False)
          (value): Linear(in_features=1024, out_features=1024, bias=True)
          (out): Linear(in_features=1024, out_features=1024, bias=True)
          (layer_norm): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
          (dropout): Dropout(p=0.1, inplace=False)
        )
        (attn_ln): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
        (cross_attn): MultiHeadAttention(
          (query): Linear(in_features=1024, out_features=1024, bias=True)
          (key): Linear(in_features=1024, out_features=1024, bias=False)
          (value): Linear(in_features=1024, out_features=1024, bias=True)
          (out): Linear(in_features=1024, out_features=1024, bias=True)
          (layer_norm): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
          (dropout): Dropout(p=0.1, inplace=False)
        )
        (cross_attn_ln): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
        (pos_ffn): PositionwiseFeedForward(
          (w_1): Conv1d(1024, 4096, kernel_size=(5,), stride=(1,), padding=(2,))
          (w_2): Conv1d(4096, 1024, kernel_size=(1,), stride=(1,))
          (layer_norm): LayerNorm((1024,), eps=1e-05, elementwise_affine=True)
          (dropout): Dropout(p=0.1, inplace=False)
        )
      )
    )
  )
  (classifier): Linear(in_features=1024, out_features=57854, bias=False)
)
epoch 1/15:
n_batch:5,phase:    train,avg_loss:1.184e+00, avg_error_rate:1.556e+02
n_batch:10,phase:    train,avg_loss:9.537e-01, avg_error_rate:1.254e+02
n_batch:15,phase:    train,avg_loss:8.599e-01, avg_error_rate:1.147e+02
n_batch:20,phase:    train,avg_loss:7.988e-01, avg_error_rate:1.087e+02
n_batch:25,phase:    train,avg_loss:7.634e-01, avg_error_rate:1.048e+02
n_batch:30,phase:    train,avg_loss:7.361e-01, avg_error_rate:1.023e+02
n_batch:35,phase:    train,avg_loss:7.146e-01, avg_error_rate:9.983e+01
n_batch:40,phase:    train,avg_loss:6.944e-01, avg_error_rate:9.850e+01
n_batch:45,phase:    train,avg_loss:6.805e-01, avg_error_rate:9.666e+01
n_batch:50,phase:    train,avg_loss:6.681e-01, avg_error_rate:9.537e+01
n_batch:55,phase:    train,avg_loss:6.584e-01, avg_error_rate:9.398e+01
n_batch:60,phase:    train,avg_loss:6.489e-01, avg_error_rate:9.311e+01
n_batch:65,phase:    train,avg_loss:6.394e-01, avg_error_rate:9.236e+01
n_batch:70,phase:    train,avg_loss:6.321e-01, avg_error_rate:9.157e+01
n_batch:75,phase:    train,avg_loss:6.251e-01, avg_error_rate:9.099e+01
n_batch:80,phase:    train,avg_loss:6.188e-01, avg_error_rate:9.062e+01
n_batch:85,phase:    train,avg_loss:6.128e-01, avg_error_rate:9.017e+01
n_batch:90,phase:    train,avg_loss:6.099e-01, avg_error_rate:8.981e+01
n_batch:95,phase:    train,avg_loss:6.045e-01, avg_error_rate:8.936e+01
n_batch:100,phase:    train,avg_loss:5.989e-01, avg_error_rate:8.910e+01
n_batch:105,phase:    train,avg_loss:5.942e-01, avg_error_rate:8.880e+01
n_batch:110,phase:    train,avg_loss:5.898e-01, avg_error_rate:8.851e+01
n_batch:115,phase:    train,avg_loss:5.854e-01, avg_error_rate:8.835e+01
n_batch:120,phase:    train,avg_loss:5.815e-01, avg_error_rate:8.807e+01
n_batch:125,phase:    train,avg_loss:5.772e-01, avg_error_rate:8.787e+01
n_batch:130,phase:    train,avg_loss:5.738e-01, avg_error_rate:8.766e+01
n_batch:135,phase:    train,avg_loss:5.707e-01, avg_error_rate:8.746e+01
n_batch:140,phase:    train,avg_loss:5.677e-01, avg_error_rate:8.729e+01
n_batch:145,phase:    train,avg_loss:5.644e-01, avg_error_rate:8.718e+01
n_batch:150,phase:    train,avg_loss:5.614e-01, avg_error_rate:8.705e+01
n_batch:155,phase:    train,avg_loss:5.587e-01, avg_error_rate:8.695e+01
n_batch:160,phase:    train,avg_loss:5.556e-01, avg_error_rate:8.683e+01
n_batch:165,phase:    train,avg_loss:5.528e-01, avg_error_rate:8.670e+01
n_batch:170,phase:    train,avg_loss:5.501e-01, avg_error_rate:8.663e+01
